Location_ID,County,City,State,Postal Code,Longitude,Latitude
L000133,Stevens,Springdale,WA,99173,-117.771332,48.046134
L000134,Stevens,Tumtum,WA,99034,-117.778593,47.883034
L000135,Stevens,Northport,WA,99157,-117.788604,48.911960
L000136,Lincoln,Ford,WA,99013,-117.847708,47.826874
L000137,Spokane,Reardan,WA,99029,-117.865898,47.723604
L000138,Spokane,Edwall,WA,99008,-117.869688,47.550759
L000139,Whitman,Lacrosse,WA,99143,-117.876377,46.813400
L000140,Stevens,Colville,WA,99114,-117.904310,48.547075
L000141,Whitman,Lamont,WA,99017,-117.906241,47.201481
L000142,Stevens,Addy,WA,99101,-117.913611,48.361989
L000143,Columbia,Dayton,WA,99328,-117.966537,46.312537
L000144,Stevens,Evans,WA,99126,-117.977563,48.719981
L000145,Lincoln,Sprague,WA,99032,-117.986039,47.299129
L000146,Orange,Midway City,CA,92655,-117.986377,33.746077
L000147,Stevens,Wellpinit,WA,99040,-117.989570,47.892405
L000148,Orange,Buena Park,CA,90621,-117.997795,33.867410
L000149,Orange,Buena Park,CA,90620,-118.015225,33.843047
L000150,Stevens,Kettle Falls,WA,99141,-118.071037,48.630802
L000151,Los Angeles,Lakewood,CA,90713,-118.113267,33.849350
L000152,Stevens,Rice,WA,99167,-118.136048,48.425669
L000153,Stevens,Gifford,WA,99131,-118.138888,48.285880
L000154,Walla Walla,Waitsburg,WA,99361,-118.150614,46.263459
L000155,Stevens,Hunters,WA,99137,-118.174956,48.125749
L000156,Los Angeles,Long Beach,CA,90802,-118.185019,33.770099
L000157,Lincoln,Davenport,WA,99122,-118.186805,47.722719
L000158,Kern,Rosamond,CA,93560,-118.229152,34.862192
L000159,Los Angeles,Lancaster,CA,93536,-118.242595,34.685088
L000160,Lincoln,Harrington,WA,99134,-118.255195,47.475636
L000161,Ferry,Inchelium,WA,99138,-118.263469,48.296407
L000162,Adams,Washtucna,WA,99371,-118.312725,46.755839
L000163,Los Angeles,Gardena,CA,90249,-118.316620,33.901925
L000164,Los Angeles,Torrance,CA,90504,-118.331273,33.871521
L000165,Los Angeles,Los Angeles,CA,90016,-118.341700,34.028510
L000166,Walla Walla,Walla Walla,WA,99362,-118.343320,46.063985
L000167,Adams,Ritzville,WA,99169,-118.386049,47.119318
L000168,Walla Walla,College Place,WA,99324,-118.388540,46.044832
L000169,Los Angeles,North Hollywood,CA,91606,-118.391970,34.186670
L000170,Los Angeles,Los Angeles,CA,90064,-118.434133,34.033613
L000171,Lincoln,Lincoln,WA,99147,-118.444678,47.837129
L000172,Ferry,Danville,WA,99121,-118.501313,48.992052
L000173,Lincoln,Creston,WA,99117,-118.505405,47.765249
L000174,Los Angeles,Reseda,CA,91335,-118.540469,34.201066
L000175,Adams,Lind,WA,99341,-118.629401,46.971269
L000176,Walla Walla,Touchet,WA,99360,-118.651393,46.042763
L000177,Ferry,Curlew,WA,99118,-118.664774,48.893688
L000178,Ferry,Keller,WA,99140,-118.692602,48.095104
L000179,Lincoln,Odessa,WA,99159,-118.692978,47.333354
L000180,Lincoln,Wilbur,WA,99185,-118.707286,47.763364
L000181,Ferry,Republic,WA,99166,-118.732885,48.648040
L000182,Franklin,Connell,WA,99326,-118.874995,46.663970
L000183,Ventura,Moorpark,CA,93021,-118.883344,34.285348
L000184,Ventura,Newbury Park,CA,91320,-118.931591,34.180936
L000185,Lincoln,Almira,WA,99103,-118.941570,47.710925
L000186,Okanogan,Elmer City,WA,99124,-118.953958,47.997582
L000187,Okanogan,Coulee Dam,WA,99116,-118.968770,47.973795
L000188,Okanogan,Nespelem,WA,99155,-118.976655,48.166365
L000189,Walla Walla,Burbank,WA,99323,-118.983486,46.188258
L000190,Grant,Marlin,WA,98832,-119.000340,47.319251
L000191,Lincoln,Grand Coulee,WA,99133,-119.003250,47.942725
L000192,Franklin,Eltopia,WA,99330,-119.040798,46.467192
L000193,Grant,Warden,WA,98857,-119.042579,46.971701
L000194,Ventura,Camarillo,CA,93010,-119.042975,34.221040
L000195,Grant,Electric City,WA,99123,-119.066067,47.909810
L000196,Franklin,Pasco,WA,99301,-119.098200,46.232395
L000197,Benton,Kennewick,WA,99337,-119.106637,46.173866
