Location_ID,County,City,State,Postal Code,Vehicle Location,Longitude,Latitude
L000471,Snohomish,Edmonds,WA,98020,POINT (-122.3757836 47.800042),-122.3757836,47.800042
L000472,Pierce,Parkland,WA,98446,POINT (-122.377475 47.096645),-122.377475,47.096645
L000473,King,Seattle,WA,98117,POINT (-122.377938 47.690166),-122.377938,47.690166
L000474,King,Seattle,WA,98107,POINT (-122.37815 47.66866),-122.37815,47.66866
L000475,Pierce,Tacoma,WA,98422,POINT (-122.38578 47.28971),-122.38578,47.28971
L000476,King,Seattle,WA,98136,POINT (-122.3894209 47.5407358),-122.3894209,47.5407358
L000477,King,Seattle,WA,98199,POINT (-122.394937 47.649547),-122.394937,47.649547
L000478,King,Seattle,WA,98116,POINT (-122.395519 47.572137),-122.395519,47.572137
L000479,Pierce,Spanaway,WA,98387,POINT (-122.3988925 47.0752582),-122.3988925,47.0752582
L000480,Pierce,Tacoma,WA,98421,POINT (-122.40594 47.261725),-122.40594,47.261725
L000481,Pierce,Tacoma,WA,98445,POINT (-122.40872 47.165675),-122.40872,47.165675
L000482,Pierce,Tacoma,WA,98404,POINT (-122.4096963 47.2174975),-122.4096963,47.2174975
L000483,Island,Clinton,WA,98236,POINT (-122.4159028 47.9560682),-122.4159028,47.9560682
L000484,Skagit,Bow,WA,98232,POINT (-122.4202542 48.5607175),-122.4202542,48.5607175
L000485,Clark,Camas,WA,98607,POINT (-122.4220033 45.6092439),-122.4220033,45.6092439
L000486,Clark,Yacolt,WA,98675,POINT (-122.4266427 45.8619031),-122.4266427,45.8619031
L000487,Pierce,Tacoma,WA,98401,POINT (-122.437085 47.25303),-122.437085,47.25303
L000488,Pierce,Tacoma,WA,98408,POINT (-122.438105 47.20322),-122.438105,47.20322
L000489,Pierce,Tacoma,WA,98444,POINT (-122.43827 47.153995),-122.43827,47.153995
L000490,Pierce,Tacoma,WA,98418,POINT (-122.439165 47.22468),-122.439165,47.22468
L000491,Island,Langley,WA,98260,POINT (-122.4401957 48.0192938),-122.4401957,48.0192938
L000492,Pierce,Tacoma,WA,98402,POINT (-122.44131 47.25207),-122.44131,47.25207
L000493,Whatcom,Bellingham,WA,98229,POINT (-122.442974 48.729016),-122.442974,48.729016
L000494,Clark,Amboy,WA,98601,POINT (-122.4448356 45.921804),-122.4448356,45.921804
L000495,Cowlitz,Ariel,WA,98603,POINT (-122.448185 45.990659),-122.448185,45.990659
L000496,Pierce,Tacoma,WA,98405,POINT (-122.45153 47.251135),-122.45153,47.251135
L000497,Whatcom,Lynden,WA,98264,POINT (-122.4584536 48.9461196),-122.4584536,48.9461196
L000498,Pierce,Tacoma,WA,98403,POINT (-122.460375 47.26455),-122.460375,47.26455
L000499,Whatcom,Bellingham,WA,98226,POINT (-122.464218 48.79135),-122.464218,48.79135
L000500,King,Vashon,WA,98070,POINT (-122.466938 47.429244),-122.466938,47.429244
L000501,Pierce,Tacoma,WA,98411,POINT (-122.473578 47.2201578),-122.473578,47.2201578
L000502,Clark,Brush Prairie,WA,98606,POINT (-122.4767202 45.7381698),-122.4767202,45.7381698
L000503,Pierce,Tacoma,WA,98409,POINT (-122.47913 47.2198),-122.47913,47.2198
L000504,Pierce,Tacoma,WA,98416,POINT (-122.479714 47.263651),-122.479714,47.263651
L000505,Island,Camano Island,WA,98282,POINT (-122.4842001 48.2013985),-122.4842001,48.2013985
L000506,Marin,Sausalito,CA,94965,POINT (-122.4860985 37.8536842),-122.4860985,37.8536842
L000507,Whatcom,Bellingham,WA,98225,POINT (-122.486115 48.761615),-122.486115,48.761615
L000508,Pierce,Joint Base Lewis Mcchord,WA,98438,POINT (-122.4872326 47.1332853),-122.4872326,47.1332853
L000509,Lewis,Mossyrock,WA,98564,POINT (-122.487535 46.5290135),-122.487535,46.5290135
L000510,Pierce,Tacoma,WA,98406,POINT (-122.490985 47.26365),-122.490985,47.26365
L000511,Lewis,Silver Creek,WA,98585,POINT (-122.5000729 46.5596671),-122.5000729,46.5596671
L000512,Skagit,La Conner,WA,98257,POINT (-122.5009593 48.3900919),-122.5009593,48.3900919
L000513,Pierce,Tacoma,WA,98407,POINT (-122.5113356 47.2923828),-122.5113356,47.2923828
